,CuGds,IdIvcHdr
0,200048,27001
1,200058,27201
2,200065,27201
3,200065,27201
4,200067,27301
5,200070,27301
6,200072,27301
7,200048,27401
8,200072,27401
9,200007,27501
10,200064,27501
11,200065,27601
12,200065,27601
13,200059,27701
14,200070,27701
15,200065,27801
16,200065,27801
17,200072,27801
18,200065,27901
19,200065,27901
20,200069,27901
21,200070,28001
22,200071,28001
23,200070,28301
24,200071,28301
25,200072,28301
26,200050,28401
27,200058,28401
28,200063,28401
29,200050,28601
30,200068,28601
31,200068,28701
32,200071,28801
33,200070,29001
34,200072,29101
35,200065,29201
36,200065,29201
37,200070,29301
38,200072,29401
39,200072,29501
40,200050,29601
41,200051,29601
42,200057,29601
43,200066,29601
44,200068,29601
45,200065,29701
46,200065,29701
47,200065,29801
48,200065,29801
49,200065,29901
50,200065,29901
51,200065,30001
52,200065,30001
53,200009,30101
54,200063,30101
55,200068,30101
56,200070,30101
57,200049,30201
58,200051,30201
59,200062,30201
60,200065,30301
61,200065,30301
62,200070,30301
63,200067,30401
64,200070,30401
65,200072,30401
66,200048,30501
67,200053,30501
68,200058,30501
69,200072,30501
70,200065,30601
71,200065,30601
72,200072,30701
73,200009,30801
74,200062,30801
75,200065,30801
76,200065,30801
77,200048,31101
78,200055,31101
79,200068,31101
80,200072,31201
81,200072,31301
82,200059,31401
83,200067,31401
84,200070,31401
85,200072,31401
86,200065,31501
87,200065,31501
88,200072,31501
89,200007,31601
90,200070,31801
91,200072,31801
92,200062,32101
93,200065,32201
94,200065,32201
95,200071,32201
96,200050,32301
97,200065,32301
98,200065,32301
99,200072,32401
100,200068,32601
101,200059,32701
102,200072,32701
103,200048,32901
104,200068,32901
105,200074,32901
106,200059,33001
107,200062,33001
108,200065,33001
109,200065,33001
110,200069,33001
111,200070,33001
112,200072,33001
113,200070,33301
114,200072,33301
115,200071,33401
116,200009,33501
117,200062,33501
118,200065,33601
119,200062,33701
120,200064,33701
121,200072,33801
122,200062,33901
123,200072,34001
124,200063,34101
125,200071,34101
126,200072,34101
127,200070,34201
128,200071,34201
129,200009,34301
130,200062,34301
131,200064,34301
132,200007,34401
133,200064,34501
134,200058,34601
135,200048,34701
136,200072,34701
137,200069,34801
138,200066,34901
139,200072,34901
140,200055,35001
141,200072,35001
142,200068,35101
143,200062,35201
144,200064,35201
145,200058,35301
146,200070,35301
147,200059,35401
148,200058,35501
149,200065,35501
150,200065,35501
151,200072,35501
152,200062,35601
153,200072,35601
154,200055,35701
155,200070,35701
156,200072,35701
157,200069,35801
158,200072,35801
159,200050,35901
160,200058,36001
161,200063,36001
162,200064,36101
163,200064,36201
164,200058,36401
165,200072,36401
166,200070,36501
167,200050,36601
168,200072,36601
169,200061,36701
170,200063,36801
171,200067,36801
172,200070,36801
173,200072,36801
174,200058,36901
175,200065,36901
176,200065,36901
177,200069,36901
178,200069,36901
179,200057,37001
180,200063,37001
181,200071,37001
182,200052,37101
183,200053,37101
184,200063,37201
185,200071,37201
186,200052,37301
187,200053,37301
188,200057,37301
189,200063,37301
190,200070,37301
191,200071,37301
192,200072,37301
193,200049,37401
194,200072,37401
195,200070,37501
196,200071,37501
197,200072,37501
198,200061,37601
199,200070,37601
