,0,1,2,3,4,5,6
0,200048.0,,,,,,
1,200058.0,200065.0,200065.0,,,,
2,200067.0,200070.0,200072.0,,,,
3,200048.0,200072.0,,,,,
4,200007.0,200064.0,,,,,
5,200065.0,200065.0,,,,,
6,200059.0,200070.0,,,,,
7,200065.0,200065.0,200072.0,,,,
8,200065.0,200065.0,200069.0,,,,
9,200070.0,200071.0,,,,,
10,200070.0,200071.0,200072.0,,,,
11,200050.0,200058.0,200063.0,,,,
12,200050.0,200068.0,,,,,
13,200068.0,,,,,,
14,200071.0,,,,,,
15,200070.0,,,,,,
16,200072.0,,,,,,
17,200065.0,200065.0,,,,,
18,200070.0,,,,,,
19,200072.0,,,,,,
20,200072.0,,,,,,
21,200050.0,200051.0,200057.0,200066.0,200068.0,,
22,200065.0,200065.0,,,,,
23,200065.0,200065.0,,,,,
24,200065.0,200065.0,,,,,
25,200065.0,200065.0,,,,,
26,200009.0,200063.0,200068.0,200070.0,,,
27,200049.0,200051.0,200062.0,,,,
28,200065.0,200065.0,200070.0,,,,
29,200067.0,200070.0,200072.0,,,,
30,200048.0,200053.0,200058.0,200072.0,,,
31,200065.0,200065.0,,,,,
32,200072.0,,,,,,
33,200009.0,200062.0,200065.0,200065.0,,,
34,200048.0,200055.0,200068.0,,,,
35,200072.0,,,,,,
36,200072.0,,,,,,
37,200059.0,200067.0,200070.0,200072.0,,,
38,200065.0,200065.0,200072.0,,,,
39,200007.0,,,,,,
40,200070.0,200072.0,,,,,
41,200062.0,,,,,,
42,200065.0,200065.0,200071.0,,,,
43,200050.0,200065.0,200065.0,,,,
44,200072.0,,,,,,
45,200068.0,,,,,,
46,200059.0,200072.0,,,,,
47,200048.0,200068.0,200074.0,,,,
48,200059.0,200062.0,200065.0,200065.0,200069.0,200070.0,200072.0
49,200070.0,200072.0,,,,,
50,200071.0,,,,,,
51,200009.0,200062.0,,,,,
52,200065.0,,,,,,
53,200062.0,200064.0,,,,,
54,200072.0,,,,,,
55,200062.0,,,,,,
56,200072.0,,,,,,
57,200063.0,200071.0,200072.0,,,,
58,200070.0,200071.0,,,,,
59,200009.0,200062.0,200064.0,,,,
60,200007.0,,,,,,
61,200064.0,,,,,,
62,200058.0,,,,,,
63,200048.0,200072.0,,,,,
64,200069.0,,,,,,
65,200066.0,200072.0,,,,,
66,200055.0,200072.0,,,,,
67,200068.0,,,,,,
68,200062.0,200064.0,,,,,
69,200058.0,200070.0,,,,,
70,200059.0,,,,,,
71,200058.0,200065.0,200065.0,200072.0,,,
72,200062.0,200072.0,,,,,
73,200055.0,200070.0,200072.0,,,,
74,200069.0,200072.0,,,,,
75,200050.0,,,,,,
76,200058.0,200063.0,,,,,
77,200064.0,,,,,,
78,200064.0,,,,,,
79,200058.0,200072.0,,,,,
80,200070.0,,,,,,
81,200050.0,200072.0,,,,,
82,200061.0,,,,,,
83,200063.0,200067.0,200070.0,200072.0,,,
84,200058.0,200065.0,200065.0,200069.0,200069.0,,
85,200057.0,200063.0,200071.0,,,,
86,200052.0,200053.0,,,,,
87,200063.0,200071.0,,,,,
88,200052.0,200053.0,200057.0,200063.0,200070.0,200071.0,200072.0
89,200049.0,200072.0,,,,,
90,200070.0,200071.0,200072.0,,,,
91,200061.0,200070.0,,,,,
